"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 09, 2020","3.29","3.01","3.54","2.99","55.31M","-7.32%"
"Mar 06, 2020","3.55","3.62","3.66","3.42","61.24M","-4.57%"
"Mar 05, 2020","3.72","3.78","3.89","3.68","72.70M","-3.88%"
"Mar 04, 2020","3.87","4.03","4.07","3.77","49.47M","-4.68%"
"Mar 03, 2020","4.06","4.08","4.21","3.95","47.64M","-1.22%"
"Mar 02, 2020","4.11","4.15","4.19","3.90","56.06M","-0.48%"
"Feb 28, 2020","4.13","3.96","4.14","3.87","63.78M","-0.24%"
"Feb 27, 2020","4.14","4.09","4.30","3.92","77.85M","-4.61%"
"Feb 26, 2020","4.34","4.50","4.71","4.30","69.73M","-1.36%"
"Feb 25, 2020","4.40","5.18","5.19","4.24","206.26M","13.40%"
"Feb 24, 2020","3.88","3.79","3.94","3.76","56.25M","-4.90%"
"Feb 21, 2020","4.08","4.20","4.20","4.02","40.48M","-4.23%"
"Feb 20, 2020","4.26","4.10","4.40","4.01","86.87M","4.41%"
"Feb 19, 2020","4.08","3.93","4.10","3.86","73.26M","7.37%"
"Feb 18, 2020","3.80","3.90","3.98","3.76","47.96M","0.80%"
"Feb 14, 2020","3.77","4.02","4.04","3.75","69.66M","-6.45%"
"Feb 13, 2020","4.03","3.95","4.05","3.86","42.41M","-0.98%"
"Feb 12, 2020","4.07","4.00","4.20","3.98","50.98M","2.78%"
"Feb 11, 2020","3.96","3.83","4.05","3.80","54.10M","2.33%"
"Feb 10, 2020","3.87","3.67","3.91","3.62","67.16M","1.57%"
"Feb 07, 2020","3.81","4.02","4.02","3.74","80.78M","-6.62%"
"Feb 06, 2020","4.08","4.20","4.33","4.05","75.64M","-7.06%"
"Feb 05, 2020","4.39","4.37","4.48","4.13","73.63M","-2.66%"
"Feb 04, 2020","4.51","4.29","4.70","4.16","123.64M","11.08%"
"Feb 03, 2020","4.06","3.54","4.11","3.52","74.05M","7.41%"
"Jan 31, 2020","3.78","4.02","4.04","3.67","77.92M","-7.35%"
"Jan 30, 2020","4.08","4.24","4.38","4.01","75.01M","-4.45%"
"Jan 29, 2020","4.27","4.23","4.33","4.02","54.69M","1.43%"
"Jan 28, 2020","4.21","4.25","4.27","4.03","48.98M","4.99%"
"Jan 27, 2020","4.01","3.98","4.35","3.84","102.03M","-13.95%"
"Jan 24, 2020","4.66","5.00","5.06","4.51","65.54M","-5.28%"
"Jan 23, 2020","4.92","4.57","4.95","4.31","102.54M","2.71%"
"Jan 22, 2020","4.79","5.42","5.65","4.69","207.13M","-7.35%"
"Jan 21, 2020","5.17","4.60","5.29","4.52","181.42M","10.71%"
"Jan 17, 2020","4.67","4.51","4.71","4.46","109.60M","6.86%"
"Jan 16, 2020","4.37","3.99","4.40","3.91","99.34M","1.86%"
"Jan 15, 2020","4.29","4.19","4.48","4.00","236.36M","14.10%"
"Jan 14, 2020","3.76","3.70","3.82","3.61","55.27M","1.62%"
"Jan 13, 2020","3.70","3.71","3.73","3.52","59.98M","5.41%"
"Jan 10, 2020","3.51","3.49","3.58","3.40","35.76M","1.45%"
"Jan 09, 2020","3.46","3.44","3.58","3.33","54.72M","2.06%"
"Jan 08, 2020","3.39","3.14","3.49","3.13","65.26M","4.63%"
"Jan 07, 2020","3.24","3.70","3.73","3.21","109.30M","-11.96%"
"Jan 06, 2020","3.68","4.19","4.24","3.66","106.85M","-3.92%"
"Jan 03, 2020","3.83","3.50","3.90","3.48","82.98M","2.96%"
"Jan 02, 2020","3.72","4.10","4.10","3.61","103.90M","-7.46%"
"Dec 31, 2019","4.02","4.15","4.42","3.82","215.20M","8.06%"
"Dec 30, 2019","3.72","2.92","4.87","2.88","433.83M","53.72%"
"Dec 27, 2019","2.42","2.54","2.55","2.41","37.70M","-3.59%"
"Dec 26, 2019","2.51","2.45","2.52","2.35","44.20M","-0.79%"
"Dec 24, 2019","2.53","2.63","2.63","2.45","32.03M","-5.24%"
"Dec 23, 2019","2.67","2.74","2.76","2.65","28.63M","-0.74%"
"Dec 20, 2019","2.69","2.65","2.72","2.63","51.01M","2.67%"
"Dec 19, 2019","2.62","2.69","2.73","2.61","36.39M","-0.38%"
"Dec 18, 2019","2.63","2.58","2.67","2.54","31.84M","1.54%"
"Dec 17, 2019","2.59","2.54","2.63","2.50","45.71M","4.44%"
"Dec 16, 2019","2.48","2.44","2.55","2.39","36.96M","3.77%"
"Dec 13, 2019","2.39","2.31","2.43","2.29","37.27M","5.29%"
"Dec 12, 2019","2.27","2.30","2.33","2.26","22.52M","0.44%"
"Dec 11, 2019","2.26","2.26","2.32","2.23","20.36M","-0.44%"
"Dec 10, 2019","2.27","2.20","2.28","2.14","25.26M","2.25%"
"Dec 09, 2019","2.22","2.21","2.25","2.11","31.82M","-1.77%"
"Dec 06, 2019","2.26","2.32","2.34","2.20","32.06M","-0.44%"
"Dec 05, 2019","2.27","2.53","2.57","2.25","53.34M","-6.20%"
"Dec 04, 2019","2.42","2.42","2.58","2.41","46.92M","0.83%"
"Dec 03, 2019","2.40","2.31","2.48","2.25","38.02M","-1.64%"
"Dec 02, 2019","2.44","2.35","2.44","2.30","33.15M","7.49%"
"Nov 29, 2019","2.27","2.36","2.36","2.20","32.64M","-7.72%"
"Nov 27, 2019","2.46","2.32","2.50","2.28","77.49M","7.89%"
"Nov 26, 2019","2.28","2.12","2.29","2.12","55.68M","11.22%"
"Nov 25, 2019","2.05","1.99","2.12","1.96","36.94M","5.67%"
"Nov 22, 2019","1.94","2.04","2.05","1.88","25.21M","-2.02%"
"Nov 21, 2019","1.98","1.87","2.04","1.82","41.55M","7.61%"
"Nov 20, 2019","1.84","1.85","1.87","1.77","20.77M","0.55%"
"Nov 19, 2019","1.83","1.78","1.89","1.78","26.83M","1.67%"
"Nov 18, 2019","1.80","1.88","1.90","1.73","26.55M","0.00%"
"Nov 15, 2019","1.80","1.75","1.84","1.66","32.27M","2.86%"
"Nov 14, 2019","1.75","1.86","1.89","1.66","46.81M","-7.89%"
"Nov 13, 2019","1.90","1.90","1.99","1.85","25.13M","-2.06%"
"Nov 12, 2019","1.94","1.90","2.05","1.83","27.82M","4.30%"
"Nov 11, 2019","1.86","1.90","1.96","1.78","34.37M","-6.06%"
"Nov 08, 2019","1.98","2.13","2.13","1.94","38.42M","-4.35%"
"Nov 07, 2019","2.07","2.11","2.20","2.05","39.59M","1.97%"
"Nov 06, 2019","2.03","2.46","2.46","1.96","114.18M","-13.25%"
"Nov 05, 2019","2.34","1.88","2.38","1.80","184.64M","36.84%"
"Nov 04, 2019","1.71","1.65","1.90","1.58","61.27M","12.50%"
"Nov 01, 2019","1.52","1.49","1.55","1.49","18.04M","4.83%"
"Oct 31, 2019","1.45","1.47","1.54","1.44","22.42M","1.40%"
"Oct 30, 2019","1.43","1.42","1.45","1.36","20.88M","2.88%"
"Oct 29, 2019","1.39","1.45","1.45","1.39","22.39M","-6.08%"
"Oct 28, 2019","1.48","1.43","1.50","1.38","32.76M","-1.99%"
"Oct 25, 2019","1.51","1.54","1.55","1.50","20.58M","-1.95%"
"Oct 24, 2019","1.54","1.57","1.60","1.53","21.62M","0.65%"
"Oct 23, 2019","1.53","1.58","1.59","1.52","12.85M","-3.16%"
"Oct 22, 2019","1.58","1.70","1.77","1.52","39.05M","-6.51%"
"Oct 21, 2019","1.69","1.52","1.77","1.49","40.27M","11.18%"
"Oct 18, 2019","1.52","1.45","1.55","1.44","21.50M","4.11%"
"Oct 17, 2019","1.46","1.46","1.50","1.42","18.39M","0.00%"
"Oct 16, 2019","1.46","1.46","1.52","1.40","40.84M","-5.81%"
"Oct 15, 2019","1.55","1.63","1.64","1.54","27.71M","1.31%"
"Oct 14, 2019","1.53","1.56","1.57","1.52","12.60M","-1.92%"
"Oct 11, 2019","1.56","1.55","1.59","1.50","25.71M","1.96%"
